Label,Count,Remarks
04 agricultural and veterinary sciences,5627,
"0401 agriculture, forestry, and fisheries",5494,
040103 agronomy & agriculture,5210,
01 natural sciences,3822,
04010301 horticulture/soil,3461,
0105 earth and related environmental sciences,2190,
010603 evolutionary biology,1155,
04010302 agroecology/sustainable agriculture,1118,
01060301 forests/habitats,1053,
010501 environmental sciences,1006,
02 engineering and technology,830,
01050102 sanitation/water pollution,760,
03 medical and health sciences,652,
0301 basic medicine,628,
010504 meteorology & atmospheric sciences,576,
01050408 carbon cycle/chemical oceanography,431,
010606 plant biology & botany,429,
0211 other engineering and technologies,428,
0303 health sciences,412,
biomass,324,
15. life on land,298,
soil microbiology,285,
"0202 electrical engineering, electronic engineering, information engineering",252,
030104 developmental biology,236,
2. zero hunger,234,
01060601 agronomy/crops,223,
carbon dioxide,218,
q,218,
science,217,
13. climate action,188,
ejp country survey,176,
environmental sciences,174,
trees,174,
0207 environmental engineering,165,
wapor,159,
soil science,150,
article,147,
research article,147,
medicine,146,
biology,142,
r,140,
wapor_2,140,
china,139,
africa and near east,138,
6. clean water,128,
550,126,
030304 developmental biology,124,
wapor_2_subnational,119,
lcsh:medicine,119,
lcsh:r,119,
lcsh:science,115,
lcsh:q,115,
esdac,107,
chemistry,105,
seasons,99,
0210 nano-technology,97,
plant leaves,96,
ge1-350,96,
04010304 weeds/agricultural pests,94,
time factors,93,
[sdv]life sciences [q-bio],93,
poaceae,92,
0402 animal and dairy science,91,
01050103 biofuels/biodegradable waste management,90,
environmental science,90,
qe1-996.5,90,
monthly,89,
02020901 energy policy/renewable energy commercialization/renewable energy,88,
pe&rc,87,
world,86,
040201 dairy & animal science,86,
[sde]environmental sciences,82,
physical sciences,80,
01060602 edible nuts and seeds/fagus,78,
04020101 poultry farming/chickens,77,
zea mays,77,
conservation of natural resources,77,
photosynthesis,76,
010604 marine biology & hydrobiology,76,
"crops, agricultural",75,
water accounting,71,
earth and environmental sciences,70,
environmental chemistry,70,
autogenerated,69,
microbiology,68,
land suitability,68,
earth sciences,68,
01060401 oceanographical terminology/biological oceanography,66,
plant science,66,
opendata,65,
greenhouse effect,65,
dekadal,61,
charcoal,61,
environment,61,
qh540-549.5,60,
agriculture (general),59,
s1-972,59,
sb1-1110,59,
oryza,58,
life sciences,56,
"biodegradation, environmental",56,
biofuels,55,
physics,54,
0201 civil engineering,54,
hydrogen-ion concentration,53,
adb,52,
0404 agricultural biotechnology,51,
s,50,
tag_soil,49,
lcsh:s1-972,49,
lcsh:agriculture (general),49,
india,49,
fos: biological sciences,49,
global warming,49,
333,49,
qh501-531,49,
phylogeny,48,
570,48,
nitrogen cycle,47,
[sde.be]environmental sciences/biodiversity and ecology,47,
geography,46,
soil ecology,46,
7. clean energy,46,
agricultural and biological sciences,45,
02110801 energy policy/renewable energy commercialization/renewable energy,45,
rwanda,45,
cattle,44,
triticum,44,
11. sustainability,44,
01050104 environmental social science concepts/environmental terminology,44,
.all subjects,43,
020701 environmental engineering,43,
"rna, ribosomal, 16s",43,
biochar,43,
02070101 hydrology/water and the environment,42,
biology and life sciences,42,
ethiopia,42,
qr1-502,41,
"metals, heavy",41,
environmental engineering,41,
02020902 biomass/biofuels/bioenergy,41,
[sdu]sciences of the universe [physics],40,
12. responsible consumption,40,
[sdv.sa]life sciences [q-bio]/agricultural sciences,40,
agronomy and crop science,39,
aquaculture,38,
indonesia,38,
el salvador,38,
580,38,
agronomy,38,
"[sdv.ee]life sciences [q-bio]/ecology, environment",37,
landscape,37,
oligochaeta,37,
qh301-705.5,37,
biology (general),37,
0405 other agricultural sciences,37,
plant ecology,37,
environmental technology. sanitary engineering,36,
td1-1066,36,
t,36,
microbial ecology,36,
sudan,36,
0104 chemical sciences,36,
soil biology,36,
engineering,36,
"water pollutants, chemical",36,
0103 physical sciences,35,
conservation tillage,35,
mycorrhizae,35,
tropical climate,35,
uganda,34,
[sdu.stu.gc]sciences of the universe [physics]/earth sciences/geochemistry,34,
plant shoots,34,
global change,34,
life science,33,
karnataka,33,
krishna river basin,33,
ecology and environmental sciences,33,
660,33,
lcsh:qe1-996.5,33,
lcsh:geology,33,
annual,33,
fires,33,
sustainability,33,
wetlands,33,
brazil,32,
geochemistry,32,
tunisia,32,
01050401 air pollution/pollution,32,
soil carbon dynamics and nutrient cycling in ecosystems,32,
anti-bacterial agents,32,
organic chemistry,32,
science & technology,31,
kenya,31,
fos: physical sciences,31,
qc1-999,31,
lcsh:qh540-549.5,31,
lcsh:ecology,31,
"models, biological",31,
"models, theoretical",31,
egypt,30,
[sdv.sa.sds]life sciences [q-bio]/agricultural sciences/soil study,30,
05 social sciences,30,
atmospheric science,29,
maize,29,
rice,29,
500 naturwissenschaften und mathematik::570 biowissenschaften; biologie::570 biowissenschaften; biologie,29,
soil chemistry,29,
hih_soil,28,
philippines,28,
04010101 forests/trees,28,
fishery,28,
europe,28,
lcsh:life,28,
lcsh:qh501-531,28,
ddc:550,28,
wimek,28,
"genes, bacterial",28,
life cycle assessment,28,
enzymes,28,
harmonized world soil database,27,
niger,27,
remote sensing,27,
fish farming,27,
soil water,27,
tag_gislab,27,
pakistan,27,
global and planetary change,27,
"dna, bacterial",27,
species specificity,27,
plantio direto,27,
desert climate,27,
sdg 13 - climate action,27,
sewage,27,
02110802 biomass/biofuels/bioenergy,27,
livestock,26,
nigeria,26,
lebanon,26,
"sequence analysis, dna",26,
organic chemicals,26,
climafrica,26,
tag_climafrica,26,
ecology and environment,26,
"waste disposal, fluid",26,
"[sdu.envi]sciences of the universe [physics]/continental interfaces, environment",26,
global change ecology,25,
land resources,25,
indus plain,25,
hydrology,25,
agroecology,25,
0302 clinical medicine,25,
030106 microbiology,25,
plant development,25,
021107 urban & regional planning,25,
conservation agriculture,24,
africover,24,
tag_africover,24,
senegal,24,
f08 - systèmes et modes de culture,24,
010602 entomology,24,
wastewater,24,
environmental restoration and remediation,24,
bodembiologie,24,
botany,24,
[sdv.bv]life sciences [q-bio]/vegetal biology,24,
mali,23,
burundi,23,
biota,23,
0502 economics and business,23,
[sde.mcg]environmental sciences/global changes,23,
biotechnology,23,
research articles,23,
[sdu.stu]sciences of the universe [physics]/earth sciences,23,
oxidation-reduction,23,
growth,23,
[sde] environmental sciences,23,
gases,22,
population,22,
biogeochemistry,22,
tundra,22,
mozambique,22,
geomorphology,22,
agricultural irrigation,22,
"drug resistance, microbial",22,
analysis of variance,22,
population dynamics,22,
grazing,21,
female,21,
stable isotopes,21,
plantaardige productiesystemen,21,
evaporation,21,
p33 - chimie et physique du sol,21,
carbon isotopes,21,
original research,21,
030306 microbiology,21,
irrigation,21,
terrestrial environments,21,
sheep,21,
910,21,
populus,21,
xxxxxx - unknown,21,
germany,20,
tag_aquastat,20,
no-till,20,
glycine max,20,
tag_lus,20,
tag_land,20,
bangladesh,20,
benin,20,
"ecology, evolution, behavior and systematics",20,
molecular sequence data,20,
eucalyptus,20,
metagenomics,20,
plant physiological phenomena,20,
ethanol,20,
land-use change,19,
rumen,19,
wa+,19,
biomass (ecology),19,
rainfall,19,
arab region,19,
mena - middle east north africa,19,
brassica napus,19,
info:eu-repo/classification/ddc/550,19,
"adaptation, physiological",19,
spain,19,
500,19,
arctic regions,19,
ozone,19,
01050404 hydrology/water,19,
quercus,19,
kinetics,19,
pinus,19,
seedlings,19,
light,19,
earth-surface processes,19,
humic substances,19,
02110701 sustainable food system/agroecology,19,
intercropping,18,
sd1-669.5,18,
01050403 oceanography/effects of climate change,18,
fabaceae,18,
arctic,18,
volatilization,18,
ecological environments,18,
nitrogen fertilization,18,
biological availability,18,
solanum lycopersicum,18,
rhizosphere,18,
chemical technology,18,
tp1-1185,18,
organic agriculture,17,
diet,17,
community structure,17,
water management,17,
phospholipids,17,
genetics,17,
riccar,17,
burkina faso,17,
solaw,17,
fos: earth and related environmental sciences,17,
01050101 pollution/environmental effects of pesticides,17,
international,17,
ghana,17,
netherlands,17,
/dk/atira/pure/sustainabledevelopmentgoals/climate_action,17,
"stress, physiological",17,
bioreactors,17,
fire,17,
review,17,
water science and technology,17,
conventional tillage,17,
551,17,
qd1-999,17,
ciencias naturales y exactas,16,
0403 veterinary science,16,
wapor_2_basin,16,
growth period,16,
festuca arundinacea,16,
tanzania,16,
elevated co2,16,
microbial community,16,
tibet,16,
plant-environment interactions,16,
community ecology,16,
refuse disposal,16,
south sudan,16,
wageningen environmental research,16,
legumes,16,
ta170-171,16,
male,16,
01050402 climatology,16,
engineering (general). civil engineering (general),16,
oxidoreductases,16,
[sdu.envi]sciences of the universe [physics]/continental interfaces,16,
cavitation,16,
countrystat,15,
040301 veterinary sciences,15,
04030102 livestock/dairy farming,15,
fatty acids,15,
atmospheric sciences,15,
agriculture and soil science,15,
/dk/atira/pure/sustainabledevelopmentgoals/affordable_and_clean_energy; name=sdg 7 - affordable and clean energy,15,
anaerobiosis,15,
"congo, dem r",15,
crop rotation,15,
lolium perenne,15,
[sdu] sciences of the universe [physics],15,
lithology,15,
feeding behavior,15,
01060201 biological pest control/insects in culture,15,
materials science,15,
model,15,
climatology,15,
"[sdv.ee.eco]life sciences [q-bio]/ecology, environment/ecosystems",15,
carbon-dioxide,15,
plant stems,15,
plant transpiration,15,
nitrogen fixation,15,
selenium,15,
0204 chemical engineering,15,
biochemistry,15,
meta-analysis,15,
tomato,15,
animal feed,14,
cameroon,14,
ph,14,
tag_water-management,14,
carbon footprint,14,
raphanus sativus var. oleiformis,14,
trifolium pretense,14,
trifolium repens,14,
japan,14,
horn of africa,14,
soil moisture balance model,14,
topography,14,
seasonal,14,
landform,14,
vegetables,14,
polymerase chain reaction,14,
swine,14,
impact,14,
circular economy,14,
betula,14,
microbial diversity,14,
ciencias agrícolas,14,
biomasse,14,
seeds,14,
sweden,14,
pyrolysis,14,
plant ecology and nature conservation,14,
plantenecologie en natuurbeheer,14,
ta1-2040,14,
crop diversification,14,
principal component analysis,14,
